DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2018,40.09,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2019,41.5,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2020,39.23,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2011,0.21,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2012,0.54,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2013,0.82,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2014,0.34,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2015,0.43,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2016,0.57,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2017,0.54,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2018,0.56,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2019,0.51,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Bulgaria,2020,0.95,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2011,54.62,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2012,58.98,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2013,62.02,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2014,56.71,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2015,64.06,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2016,56.51,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2017,62.65,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2018,61.03,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2019,61.03,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Switzerland,2020,60.3,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2011,17.48,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2012,18.14,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2013,15.48,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2014,25.15,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2015,33.5,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2016,37.49,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2017,39.03,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2018,48.57,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2019,51.88,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Cyprus,2020,42.06,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2011,10.51,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2012,10.75,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2013,14.09,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2014,12.87,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2015,16.39,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2016,14.99,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2017,18.83,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2018,17.34,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2019,18.49,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Czechia,2020,20.42,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2011,27.01,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2012,31.36,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2013,36.44,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2014,35.95,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2015,43.73,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2016,43.9,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2017,50.01,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2018,55.36,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2019,54,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Germany (until 1990 former territory of the FRG),2020,54.49,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2011,49.98,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2012,51.69,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2013,53.12,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2014,53.67,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2015,53.96,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2016,57.49,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2017,61.82,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2018,65.08,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2019,59.57,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Denmark,2020,56.09,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2011,2.39,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2012,2.12,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2013,2.82,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2014,2.73,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2015,2.14,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2016,3.11,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2017,5.66,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2018,5.43,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2019,8.49,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Estonia,2020,7.9,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2011,0.87,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2012,0.92,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2013,1.27,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2014,5.26,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2015,8.41,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2016,10.82,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2017,13.73,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2018,13.48,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2019,15.99,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Greece,2020,17.83,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2011,34.22,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2012,36.94,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2013,35.21,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2014,37.18,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2015,41.3,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2016,39.07,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2017,39.35,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2018,39.61,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2019,39.06,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Spain,2020,37.95,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2011,26.99,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2012,30.24,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2013,32.96,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2014,33.53,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2015,38.09,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2016,37.54,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2017,39.55,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2018,41.19,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2019,,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,European Union - 28 countries (2013-2020),2020,,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2011,40.65,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2012,43.49,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2013,39.5,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2014,38.94,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2015,39.49,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2016,37.54,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2017,34.93,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2018,37.54,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2019,34.58,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Finland,2020,37.62,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2011,20.34,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2012,22.98,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2013,23.22,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2014,22.8,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2015,25.01,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2016,24.68,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2017,23.65,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2018,24.49,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2019,23.77,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,France,2020,21.6,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2011,13.52,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2012,14.61,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2013,13.81,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2014,16.47,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2015,19.44,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2016,15.38,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2017,19.93,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2018,20.02,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2019,18.42,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Croatia,2020,17.4,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2011,28.82,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2012,33.1,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2013,33.61,d
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2014,32.94,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2015,37.56,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2016,34.24,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2017,39.76,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2018,40,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2019,45.86,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Hungary,2020,43.75,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2011,32.75,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2012,38.24,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2013,50.28,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2014,52.13,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2015,57.96,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2016,59.62,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2017,62.51,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2018,61.6,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2019,60.38,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Ireland,2020,51.66,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2011,27.81,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2012,21.16,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2013,28.02,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2014,34.39,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2015,31.15,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2016,23.02,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2017,29.03,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2018,32.7,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2019,34.61,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Iceland,2020,39.6,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2011,22.67,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2012,23.96,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2013,23.31,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2014,22.59,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2015,27.12,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2016,26.37,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2017,29.28,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2018,28.63,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2019,29.87,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Italy,2020,30.98,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2011,,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2012,,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2013,,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2014,6.23,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2015,,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2016,5.75,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2017,11.59,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2018,17.03,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2019,5.16,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Liechtenstein,2020,65.42,
